David,Cameron,2761920
William,Hague,1651136
George,Young,1626230
George,Osborne,1377909
Theresa,May,1377787
Chris,Bryant,1069512
Andrew,Lansley,1062884
John,Bercow,1051265
Mark,Hoban,913693
Christopher,Leslie,910678
William,Cash,880673
Christopher,Chope,824293
Mark,Harper,812443
Michael,Gove,786571
David,Lidington,775264
David,Gauke,767639
Philip,Davies,716006
John,McDonnell,711681
Philip,Hammond,697832
Kenneth,Clarke,697570
Justine,Greening,686885
Nicholas,Clegg,668278
Jacob,Rees-Mogg,661013
Andy,Burnham,649776
Kevan,Jones,647499
Yvette,Cooper,645419
Vincent,Cable,616321
David,Nuttall,601244
James,Brokenshire,582850
Edward,Miliband,580194
Liam,Fox,567179
Simon,Hughes,559792
Edward,Davey,550720
Chris,Grayling,549856
Angela,Eagle,549532
Christopher,Huhne,545351
John,Hayes,530917
David,Hanson,526629
David,Heath,526528
Simon,Burns,524833
Danny,Alexander,510075
Paul,Burstow,509091
Charlie,Elphicke,506900
Nick,Herbert,504538
Keith,Vaz,495645
Edward,Balls,490228
Jim,Shannon,487943
Damian,Green,486817
Douglas,Alexander,480955
Peter,Bone,474902